Date,Open,High,Low,Close,Adj Close,Volume,Close_NIFTY,Close_NIFTYBANK
2022-03-07,15867.950195,15944.599609,15711.450195,15863.150391,15863.150391,585400,15863.150391,32871.25
2022-03-08,15747.75,16028.75,15671.450195,16013.450195,16013.450195,543600,16013.450195,33158.101563
2022-03-09,16078.0,16418.050781,15990.0,16345.349609,16345.349609,462200,16345.349609,33815.449219
2022-03-10,16757.099609,16757.300781,16447.900391,16594.900391,16594.900391,486400,16594.900391,34475.601563
2022-03-11,16528.800781,16694.400391,16470.900391,16630.449219,16630.449219,343700,16630.449219,34546.25
2022-03-14,16633.699219,16887.949219,16606.5,16871.300781,16871.300781,314700,16871.300781,35312.148438
2022-03-15,16900.650391,16927.75,16555.0,16663.0,16663.0,381600,16663.0,35022.648438
2022-03-16,16876.650391,16987.900391,16837.849609,16975.349609,16975.349609,260000,16975.349609,35748.25
2022-03-17,17202.900391,17344.599609,17175.75,17287.050781,17287.050781,448300,17287.050781,36428.550781
2022-03-21,17329.5,17353.349609,17096.400391,17117.599609,17117.599609,285500,17117.599609,36018.5
2022-03-22,17120.400391,17334.400391,17006.300781,17315.5,17315.5,338300,17315.5,36348.550781
2022-03-23,17405.050781,17442.400391,17199.599609,17245.650391,17245.650391,292100,17245.650391,36147.351563
2022-03-24,17094.949219,17291.75,17091.150391,17222.75,17222.75,290300,17222.75,35527.101563
2022-03-25,17289.0,17294.900391,17076.550781,17153.0,17153.0,237100,17153.0,35410.101563
2022-03-28,17181.849609,17235.099609,17003.900391,17222.0,17222.0,253200,17222.0,35710.5
2022-03-29,17297.199219,17343.650391,17235.699219,17325.300781,17325.300781,235100,17325.300781,35847.398438
2022-03-30,17468.150391,17522.5,17387.199219,17498.25,17498.25,505000,17498.25,36334.300781
2022-03-31,17519.199219,17559.800781,17435.199219,17464.75,17464.75,281100,17464.75,36373.601563
2022-04-01,17436.900391,17703.699219,17422.699219,17670.449219,17670.449219,291800,17670.449219,37148.5
2022-04-04,17809.099609,18114.650391,17791.400391,18053.400391,18053.400391,345500,18053.400391,38635.199219
2022-04-05,18080.599609,18095.449219,17921.550781,17957.400391,17957.400391,283500,17957.400391,38067.898438
2022-04-06,17842.75,17901.0,17779.849609,17807.650391,17807.650391,328800,17807.650391,37632.800781
2022-04-07,17723.300781,17787.5,17623.699219,17639.550781,17639.550781,308800,17639.550781,37557.351563
2022-04-08,17698.150391,17842.75,17600.550781,17784.349609,17784.349609,274400,17784.349609,37752.050781
2022-04-11,17740.900391,17779.050781,17650.949219,17674.949219,17674.949219,251700,17674.949219,37613.800781
2022-04-12,17584.849609,17595.300781,17442.349609,17530.300781,17530.300781,266000,17530.300781,37747.398438
2022-04-13,17599.900391,17663.650391,17457.400391,17475.650391,17475.650391,245100,17475.650391,37463.398438
2022-04-18,17183.449219,17237.75,17067.849609,17173.650391,17173.650391,376100,17173.650391,36729.0
2022-04-19,17258.949219,17275.650391,16824.699219,16958.650391,16958.650391,401400,16958.650391,36341.601563
2022-04-20,17045.25,17186.900391,16978.949219,17136.550781,17136.550781,286100,17136.550781,36314.898438
2022-04-21,17234.599609,17414.699219,17215.5,17392.599609,17392.599609,285200,17392.599609,36816.101563
2022-04-22,17242.75,17315.300781,17149.199219,17171.949219,17171.949219,262700,17171.949219,36044.75
2022-04-25,17009.050781,17054.300781,16888.699219,16953.949219,16953.949219,275700,16953.949219,36082.351563
2022-04-26,17121.300781,17223.849609,17064.449219,17200.800781,17200.800781,261100,17200.800781,36404.800781
2022-04-27,17073.349609,17110.699219,16958.449219,17038.400391,17038.400391,265100,17038.400391,36028.851563
2022-04-28,17189.5,17322.5,17071.050781,17245.050781,17245.050781,312900,17245.050781,36422.199219
2022-04-29,17329.25,17377.650391,17053.25,17102.550781,17102.550781,336200,17102.550781,36088.148438
2022-05-02,16924.449219,17092.25,16917.25,17069.099609,17069.099609,278200,17069.099609,36163.75
2022-05-04,17096.599609,17132.849609,16623.949219,16677.599609,16677.599609,310600,16677.599609,35264.550781
2022-05-05,16854.75,16945.699219,16651.849609,16682.650391,16682.650391,265800,16682.650391,35232.851563
2022-05-06,16415.550781,16484.199219,16340.900391,16411.25,16411.25,300500,16411.25,34591.199219
2022-05-09,16227.700195,16403.699219,16142.099609,16301.849609,16301.849609,288400,16301.849609,34275.398438
2022-05-10,16248.900391,16404.550781,16197.299805,16240.049805,16240.049805,283100,16240.049805,34482.648438
2022-05-11,16270.049805,16318.75,15992.599609,16167.099609,16167.099609,284300,16167.099609,34693.148438
2022-05-12,16021.099609,16041.950195,15735.75,15808.0,15808.0,314900,15808.0,33532.148438
2022-05-13,15977.0,16083.599609,15740.849609,15782.150391,15782.150391,369100,15782.150391,33121.351563
2022-05-16,15845.099609,15977.950195,15739.650391,15842.299805,15842.299805,217600,15842.299805,33597.601563
2022-05-17,15912.599609,16284.25,15900.799805,16259.299805,16259.299805,295700,16259.299805,34301.898438
2022-05-18,16318.150391,16399.800781,16211.200195,16240.299805,16240.299805,290400,16240.299805,34163.699219
2022-05-19,15917.400391,15984.75,15775.200195,15809.400391,15809.400391,313900,15809.400391,33315.648438
2022-05-20,16043.799805,16283.049805,16003.849609,16266.150391,16266.150391,252400,16266.150391,34276.398438
2022-05-23,16290.950195,16414.699219,16185.75,16214.700195,16214.700195,293800,16214.700195,34247.601563
2022-05-24,16225.549805,16262.799805,16078.599609,16125.150391,16125.150391,249800,16125.150391,34290.148438
2022-05-25,16196.349609,16223.349609,16006.950195,16025.799805,16025.799805,243300,16025.799805,34339.5
2022-05-26,16105.0,16204.450195,15903.700195,16170.150391,16170.150391,314300,16170.150391,35094.898438
2022-05-27,16296.599609,16370.599609,16221.950195,16352.450195,16352.450195,274100,16352.450195,35613.300781
2022-05-30,16527.900391,16695.5,16506.150391,16661.400391,16661.400391,251400,16661.400391,35826.949219
2022-05-31,16578.449219,16690.75,16521.900391,16584.550781,16584.550781,651600,16584.550781,35487.398438
2022-06-01,16594.400391,16649.199219,16438.849609,16522.75,16522.75,249600,16522.75,35620.800781
2022-06-02,16481.650391,16646.400391,16443.050781,16628.0,16628.0,236000,16628.0,35613.648438
2022-06-03,16761.650391,16793.849609,16567.900391,16584.300781,16584.300781,245500,16584.300781,35275.050781
2022-06-06,16530.699219,16610.949219,16444.550781,16569.550781,16569.550781,233600,16569.550781,35310.199219
2022-06-07,16469.599609,16487.25,16347.099609,16416.349609,16416.349609,233800,16416.349609,34996.0
2022-06-08,16474.949219,16514.300781,16293.349609,16356.25,16356.25,243500,16356.25,34946.148438
2022-06-09,16263.849609,16492.800781,16243.849609,16478.099609,16478.099609,205000,16478.099609,35085.449219
2022-06-10,16283.950195,16324.700195,16172.599609,16201.799805,16201.799805,189700,16201.799805,34483.800781
2022-06-13,15877.549805,15886.150391,15684.0,15774.400391,15774.400391,225500,15774.400391,33405.851563
2022-06-14,15674.25,15858.0,15659.450195,15732.099609,15732.099609,225400,15732.099609,33311.351563
2022-06-15,15729.25,15783.650391,15678.900391,15692.150391,15692.150391,183000,15692.150391,33339.0
2022-06-16,15832.25,15863.150391,15335.099609,15360.599609,15360.599609,264700,15360.599609,32617.099609
2022-06-17,15272.650391,15400.400391,15183.400391,15293.5,15293.5,342600,15293.5,32743.050781
2022-06-20,15334.5,15382.5,15191.099609,15350.150391,15350.150391,260000,15350.150391,32684.800781
2022-06-21,15455.950195,15707.25,15419.849609,15638.799805,15638.799805,262800,15638.799805,33191.75
2022-06-22,15545.650391,15565.400391,15385.950195,15413.299805,15413.299805,220900,15413.299805,32845.300781
2022-06-23,15451.549805,15628.450195,15367.5,15556.650391,15556.650391,259200,15556.650391,33135.0
2022-06-24,15657.400391,15749.25,15619.450195,15699.25,15699.25,219600,15699.25,33627.449219
2022-06-27,15926.200195,15927.450195,15815.5,15832.049805,15832.049805,210900,15832.049805,33811.25
2022-06-28,15757.450195,15892.099609,15710.150391,15850.200195,15850.200195,251900,15850.200195,33642.449219
2022-06-29,15701.700195,15861.599609,15687.799805,15799.099609,15799.099609,444900,15799.099609,33269.898438
2022-06-30,15774.5,15890.0,15728.849609,15780.25,15780.25,306000,15780.25,33425.101563
2022-07-01,15703.700195,15793.950195,15511.049805,15752.049805,15752.049805,364100,15752.049805,33539.449219
