Date,Open,High,Low,Close,Adj Close,Volume,Close_NIFTY,Close_NIFTYBANK
2022-03-07,878.0,896.950012,825.5,834.400024,827.728577,6323502,15863.150391,32871.25
2022-03-08,831.099976,847.799988,816.0,840.700012,833.97821,6163433,16013.450195,33158.101563
2022-03-09,863.0,880.0,838.25,875.349976,868.351135,6967640,16345.349609,33815.449219
2022-03-10,909.799988,928.0,890.700012,904.299988,897.069641,6312569,16594.900391,34475.601563
2022-03-11,900.0,915.5,892.950012,901.75,894.5401,3451877,16630.449219,34546.25
2022-03-14,899.0,914.0,892.299988,907.599976,900.343262,3718477,16871.300781,35312.148438
2022-03-15,916.900024,922.0,887.25,896.650024,889.480896,4390735,16663.0,35022.648438
2022-03-16,912.0,936.0,911.549988,928.650024,921.225037,5705364,16975.349609,35748.25
2022-03-17,943.950012,949.5,929.549988,932.450012,924.994629,4492246,17287.050781,36428.550781
2022-03-21,938.0,938.0,911.0,913.400024,906.096924,2363059,17117.599609,36018.5
2022-03-22,916.0,932.0,903.599976,927.700012,920.282593,2764481,17315.5,36348.550781
2022-03-23,933.0,944.450012,928.099976,931.349976,923.903381,2433056,17245.650391,36147.351563
2022-03-24,922.0,937.950012,915.200012,924.799988,917.405762,2923793,17222.75,35527.101563
2022-03-25,930.0,933.299988,916.049988,926.25,918.844177,1984601,17153.0,35410.101563
2022-03-28,923.049988,942.900024,920.25,935.150024,927.673035,2654339,17222.0,35710.5
2022-03-29,939.950012,944.5,921.400024,929.150024,921.721008,3351562,17325.300781,35847.398438
2022-03-30,939.349976,945.0,922.950012,926.299988,918.893799,4849869,17498.25,36334.300781
2022-03-31,930.0,938.450012,924.0,935.400024,927.921021,2311242,17464.75,36373.601563
2022-04-01,929.450012,970.950012,929.150024,968.599976,960.85553,5222165,17670.449219,37148.5
2022-04-04,975.0,994.799988,958.049988,987.200012,979.306885,5033678,18053.400391,38635.199219
2022-04-05,994.0,994.0,968.0,973.25,965.468384,3827808,17957.400391,38067.898438
2022-04-06,967.0,978.75,961.0,968.299988,960.557983,2406015,17807.650391,37632.800781
2022-04-07,960.5,986.900024,960.0,972.599976,964.823547,3182285,17639.550781,37557.351563
2022-04-08,971.0,990.0,968.25,985.599976,977.719604,2659878,17784.349609,37752.050781
2022-04-11,983.599976,998.900024,976.799988,980.450012,972.61084,2413145,17674.949219,37613.800781
2022-04-12,977.0,987.650024,966.0,985.099976,977.223633,1963842,17530.300781,37747.398438
2022-04-13,992.0,996.25,982.0,983.400024,975.537292,2060127,17475.650391,37463.398438
2022-04-18,972.0,983.0,966.099976,977.450012,969.634827,1575552,17173.650391,36729.0
2022-04-19,979.900024,988.950012,951.0,963.799988,956.093933,1747142,16958.650391,36341.601563
2022-04-20,965.549988,982.75,952.5,972.549988,964.773987,2421543,17136.550781,36314.898438
2022-04-21,976.099976,992.700012,976.099976,989.25,981.340454,1957820,17392.599609,36816.101563
2022-04-22,980.0,988.0,957.099976,959.849976,952.175537,1942893,17171.949219,36044.75
2022-04-25,945.0,958.450012,931.0,946.549988,938.981873,2096910,16953.949219,36082.351563
2022-04-26,962.0,983.349976,958.099976,980.450012,972.61084,2673266,17200.800781,36404.800781
2022-04-27,970.099976,979.799988,967.150024,974.5,966.708374,1476543,17038.400391,36028.851563
2022-04-28,978.0,992.450012,972.0,988.349976,980.447632,2003774,17245.050781,36422.199219
2022-04-29,990.0,1009.5,975.200012,978.549988,970.726013,3476442,17102.550781,36088.148438
2022-05-02,972.0,1026.0,966.450012,1018.099976,1009.959778,8962019,17069.099609,36163.75
2022-05-04,1025.5,1029.0,971.0,978.299988,970.478027,4565643,16677.599609,35264.550781
2022-05-05,995.0,995.0,932.0,936.799988,929.309814,4679266,16682.650391,35232.851563
2022-05-06,919.0,934.299988,902.5,915.400024,908.080933,3713381,16411.25,34591.199219
2022-05-09,912.799988,912.799988,881.0,889.700012,882.586426,3283626,16301.849609,34275.398438
2022-05-10,888.0,920.0,888.0,910.75,903.46814,3972560,16240.049805,34482.648438
2022-05-11,910.900024,928.0,891.299988,923.349976,915.967346,4209334,16167.099609,34693.148438
2022-05-12,916.0,916.5,856.0,869.900024,862.944763,4776857,15808.0,33532.148438
2022-05-13,886.0,894.150024,868.75,872.349976,865.375122,2932319,15782.150391,33121.351563
2022-05-16,876.700012,898.799988,865.549988,885.900024,878.816833,1971123,15842.299805,33597.601563
2022-05-17,890.0,905.0,888.099976,903.849976,896.62323,2038983,16259.299805,34301.898438
2022-05-18,907.0,917.950012,899.049988,903.150024,895.928894,2665522,16240.299805,34163.699219
2022-05-19,888.0,890.849976,860.099976,866.25,859.323914,2656251,15809.400391,33315.648438
2022-05-20,888.0,900.0,881.200012,896.5,889.332031,2286465,16266.150391,34276.398438
2022-05-23,900.0,922.0,898.950012,902.400024,895.184875,2577890,16214.700195,34247.601563
2022-05-24,905.400024,917.0,895.299988,897.950012,890.770447,2149695,16125.150391,34290.148438
2022-05-25,907.799988,923.5,889.549988,893.349976,886.207214,3664893,16025.799805,34339.5
2022-05-26,902.599976,906.799988,877.450012,897.599976,890.423218,3909078,16170.150391,35094.898438
2022-05-27,908.349976,927.0,905.200012,925.400024,918.000977,2509528,16352.450195,35613.300781
2022-05-30,936.0,946.450012,932.099976,936.200012,928.714661,2036338,16661.400391,35826.949219
2022-05-31,926.0,939.950012,926.0,930.849976,923.407349,1249259,16584.550781,35487.398438
2022-06-01,930.849976,938.349976,918.700012,928.349976,920.927368,1144864,16522.75,35620.800781
2022-06-02,921.0,945.0,921.0,942.950012,935.410645,1735855,16628.0,35613.648438
2022-06-03,950.0,953.799988,922.0,924.299988,916.90979,1398174,16584.300781,35275.050781
2022-06-06,920.0,933.950012,918.5,928.75,921.324219,1417254,16569.550781,35310.199219
2022-06-07,924.25,929.950012,916.5,923.700012,916.314575,929573,16416.349609,34996.0
2022-06-08,929.0,938.0,906.549988,913.700012,906.394531,1905868,16356.25,34946.148438
2022-06-09,908.0,923.5,906.349976,920.299988,912.941711,1031195,16478.099609,35085.449219
2022-06-10,912.5,925.0,903.25,913.200012,905.89856,882217,16201.799805,34483.800781
2022-06-13,895.0,900.349976,860.099976,865.450012,858.530334,3353078,15774.400391,33405.851563
2022-06-14,864.0,869.950012,840.299988,844.200012,837.450195,3770890,15732.099609,33311.351563
2022-06-15,852.0,857.0,828.0,843.299988,836.557373,3911673,15692.150391,33339.0
2022-06-16,854.0,859.400024,805.150024,809.599976,803.126831,3141825,15360.599609,32617.099609
2022-06-17,810.0,821.849976,796.75,806.900024,800.448486,2624540,15293.5,32743.050781
2022-06-20,814.599976,814.599976,769.5,784.049988,777.781128,3103978,15350.150391,32684.800781
2022-06-21,796.049988,809.400024,783.450012,798.849976,792.462769,3425596,15638.799805,33191.75
2022-06-22,799.650024,801.849976,767.700012,777.650024,771.432312,3066728,15413.299805,32845.300781
2022-06-23,781.0,794.299988,763.200012,784.950012,778.67395,3888446,15556.650391,33135.0
2022-06-24,793.950012,815.849976,792.5,806.5,800.051636,4706175,15699.25,33627.449219
2022-06-27,819.200012,829.700012,817.650024,823.5,816.91571,2569316,15832.049805,33811.25
2022-06-28,819.0,823.5,812.0,816.599976,810.070862,1280737,15850.200195,33642.449219
2022-06-29,805.0,817.349976,788.200012,808.799988,802.333252,3774208,15799.099609,33269.898438
2022-06-30,811.799988,816.700012,790.25,794.349976,787.998779,2686640,15780.25,33425.101563
2022-07-01,793.0,810.0,783.0,807.200012,800.746033,2796110,15752.049805,33539.449219
2022-07-04,812.799988,840.0,811.200012,832.0,825.347778,4711395,15835.349609,33940.898438
2022-07-05,833.0,839.0,821.049988,824.049988,817.461304,1836183,15810.849609,33815.898438
2022-07-06,829.799988,840.0,825.049988,836.549988,829.861389,1660551,15989.799805,34324.25
2022-07-07,841.0,863.400024,840.25,861.0,854.115906,3868679,16132.900391,34920.300781
2022-07-08,867.0,867.5,846.200012,848.599976,841.815002,1342616,16220.599609,35124.050781
2022-07-11,845.0,860.0,843.049988,858.349976,851.487061,1503503,16216.0,35469.648438
2022-07-12,850.0,861.150024,845.0,847.049988,840.277405,1221366,16058.299805,35132.25
2022-07-13,856.150024,856.150024,789.5,819.049988,812.501282,10850036,15966.650391,34827.800781
2022-07-14,823.099976,829.799988,813.700012,820.900024,814.336548,2463571,15938.650391,34651.199219
2022-07-15,824.150024,829.0,811.200012,815.049988,808.533264,1365475,16049.200195,34682.648438
2022-07-18,826.0,853.200012,823.200012,851.049988,844.245422,2536142,16278.5,35358.699219
2022-07-19,841.0,871.799988,840.0,868.099976,861.159119,2608372,16340.549805,35720.351563
2022-07-20,886.0,897.450012,872.799988,879.299988,872.269531,3995680,16520.849609,35972.101563
2022-07-21,903.0,962.0,892.599976,948.099976,940.51947,23581540,16605.25,36201.0
2022-07-22,950.049988,956.0,938.650024,942.450012,934.914673,4842122,16719.449219,36738.949219
2022-07-25,940.0,966.5,939.549988,962.049988,954.35791,6043152,16631.0,36726.398438
2022-07-26,959.0,969.900024,951.849976,961.599976,953.911499,2983144,16483.849609,36408.5
2022-07-27,960.700012,983.75,955.25,979.799988,971.966003,3405140,16641.800781,36783.75
2022-07-28,994.450012,1020.0,989.099976,1017.700012,1009.562988,7001490,16929.599609,37378.148438
2022-07-29,1022.200012,1049.949951,1018.75,1043.5,1035.156738,5862550,17158.25,37491.398438
2022-08-01,1040.0,1047.900024,1024.550049,1040.150024,1031.833496,4299697,17340.050781,37903.199219
2022-08-02,1033.0,1071.900024,1032.050049,1067.25,1058.716797,5074834,17345.449219,38024.0
2022-08-03,1063.550049,1070.0,1051.550049,1058.300049,1049.838379,2753893,17388.150391,37989.25
2022-08-04,1061.099976,1072.849976,1043.800049,1050.199951,1041.803101,2142720,17382.0,37755.550781
2022-08-05,1055.5,1057.75,1033.550049,1036.300049,1028.014282,2382020,17397.5,37920.601563
2022-08-08,1036.300049,1057.699951,1033.699951,1050.199951,1041.803101,2057991,17525.099609,38237.398438
2022-08-10,1045.400024,1067.5,1043.050049,1063.099976,1054.599976,2727232,17534.75,38287.851563
