Date,Open,High,Low,Close,Adj Close,Volume,Close_NIFTY,Close_NIFTYBANK
2022-03-07,2278.699951,2312.100098,2222.0,2239.550049,2232.827637,8299295,15863.150391,32871.25
2022-03-08,2211.5,2246.0,2180.0,2235.5,2228.789795,9825043,16013.450195,33158.101563
2022-03-09,2236.0,2367.0,2234.149902,2354.100098,2347.033936,9421163,16345.349609,33815.449219
2022-03-10,2400.0,2405.0,2360.0,2392.25,2385.069092,8297995,16594.900391,34475.601563
2022-03-11,2376.050049,2411.0,2376.050049,2399.149902,2391.948486,5656799,16630.449219,34546.25
2022-03-14,2386.899902,2424.399902,2374.0,2418.850098,2411.589355,3849222,16871.300781,35312.148438
2022-03-15,2427.949951,2427.949951,2340.850098,2363.449951,2356.355713,7349740,16663.0,35022.648438
2022-03-16,2382.0,2407.899902,2377.100098,2403.350098,2396.135986,5145644,16975.349609,35748.25
2022-03-17,2432.75,2497.399902,2415.100098,2481.699951,2474.250732,9886295,17287.050781,36428.550781
2022-03-21,2444.0,2484.0,2439.0,2467.399902,2459.993652,5537752,17117.599609,36018.5
2022-03-22,2460.100098,2534.949951,2453.600098,2531.149902,2523.552246,10410082,17315.5,36348.550781
2022-03-23,2523.0,2564.850098,2523.0,2539.199951,2531.578125,7135797,17245.650391,36147.351563
2022-03-24,2510.0,2584.149902,2510.0,2578.649902,2570.909668,6077153,17222.75,35527.101563
2022-03-25,2582.5,2616.0,2577.0,2595.850098,2588.058105,6563676,17153.0,35410.101563
2022-03-28,2610.0,2629.75,2586.5,2621.949951,2614.07959,4564891,17222.0,35710.5
2022-03-29,2638.0,2638.0,2607.399902,2622.550049,2614.677979,4007695,17325.300781,35847.398438
2022-03-30,2639.899902,2688.0,2617.100098,2672.949951,2664.926514,7297028,17498.25,36334.300781
2022-03-31,2664.949951,2669.699951,2628.600098,2634.75,2626.841309,6102744,17464.75,36373.601563
2022-04-01,2636.0,2665.149902,2622.0,2655.850098,2647.878174,3656408,17670.449219,37148.5
2022-04-04,2655.449951,2675.0,2641.649902,2663.699951,2655.704346,3659307,18053.400391,38635.199219
2022-04-05,2651.100098,2669.899902,2620.699951,2626.050049,2618.16748,6068663,17957.400391,38067.898438
2022-04-06,2587.100098,2634.5,2587.100098,2619.050049,2611.188477,5656703,17807.650391,37632.800781
2022-04-07,2595.100098,2606.0,2567.0,2572.850098,2565.127197,7151632,17639.550781,37557.351563
2022-04-08,2560.0,2625.0,2560.0,2615.649902,2607.798584,6992874,17784.349609,37752.050781
2022-04-11,2600.0,2638.550049,2583.0,2610.199951,2602.36499,4270816,17674.949219,37613.800781
2022-04-12,2587.0,2602.600098,2555.399902,2561.050049,2553.362549,6099986,17530.300781,37747.398438
2022-04-13,2574.5,2592.600098,2545.5,2551.649902,2543.990723,4778478,17475.650391,37463.398438
2022-04-18,2533.0,2559.800049,2521.800049,2543.850098,2536.214355,4603103,17173.650391,36729.0
2022-04-19,2558.0,2668.0,2551.050049,2640.800049,2632.873291,12064446,16958.650391,36341.601563
