Date,Open,High,Low,Close,Adj Close,Volume
2021-03-08,10050.000000,10050.000000,9806.950195,9832.500000,9831.908203,9938
2021-03-09,10080.000000,10121.799805,9861.950195,9969.299805,9968.698242,9176
2021-03-10,9970.000000,10090.000000,9931.150391,9992.750000,9992.148438,10723
2021-03-12,10050.000000,10212.849609,9845.000000,9949.349609,9948.750000,24724
2021-03-15,10193.000000,10193.000000,9544.299805,9683.150391,9682.566406,23907
2021-03-16,9701.000000,9784.549805,9590.000000,9608.950195,9608.371094,13661
2021-03-17,9655.000000,9655.000000,9485.000000,9544.849609,9544.274414,14184
2021-03-18,9610.000000,9732.000000,9371.849609,9429.549805,9428.981445,23995
2021-03-19,9450.000000,9486.250000,9211.450195,9442.799805,9442.230469,16666
2021-03-22,9499.000000,9501.049805,9315.150391,9408.700195,9408.132813,19691
2021-03-23,9415.000000,9506.549805,9382.099609,9399.900391,9399.333008,10073
2021-03-24,9398.000000,9398.000000,9179.200195,9197.700195,9197.146484,15173
2021-03-25,9250.000000,9255.799805,8962.200195,9059.950195,9059.404297,13066
2021-03-26,9125.000000,9505.000000,9125.000000,9466.650391,9466.080078,28222
2021-03-30,9480.000000,9647.250000,9444.450195,9496.950195,9496.377930,10967
2021-03-31,9500.000000,9714.299805,9448.950195,9667.799805,9667.217773,9730
2021-04-01,9705.000000,9823.349609,9673.150391,9790.200195,9789.610352,9830
2021-04-05,9525.849609,9755.000000,9155.349609,9488.900391,9488.328125,39868
2021-04-06,9525.000000,9622.000000,9473.049805,9520.599609,9520.025391,13375
2021-04-07,9545.000000,9653.849609,9466.599609,9539.299805,9538.724609,12604
2021-04-08,9600.000000,9734.000000,9580.000000,9655.599609,9655.017578,7360
2021-04-09,9645.000000,9715.849609,9563.299805,9629.950195,9629.370117,9201
2021-04-12,9350.000000,9423.099609,9047.099609,9162.150391,9161.597656,26984
2021-04-13,9150.000000,9840.000000,9150.000000,9809.950195,9809.358398,29637
2021-04-15,9701.000000,9837.549805,9512.400391,9747.750000,9747.163086,23547
2021-04-16,9760.000000,9876.900391,9760.000000,9822.400391,9821.808594,14647
2021-04-19,9600.000000,9650.000000,9396.900391,9470.950195,9470.379883,16454
2021-04-20,9550.200195,9941.000000,9550.200195,9821.049805,9820.458008,38897
2021-04-22,9660.000000,9915.650391,9612.849609,9855.099609,9854.505859,32554
2021-04-23,9725.000000,10136.700195,9725.000000,9919.049805,9918.452148,36537
2021-04-26,9957.000000,10120.700195,9900.000000,9998.549805,9997.947266,17699
2021-04-27,9950.000000,10125.150391,9950.000000,10085.700195,10085.091797,8486
2021-04-28,10235.000000,10615.950195,10159.799805,10491.650391,10491.017578,40086
2021-04-29,10550.000000,11299.650391,10535.049805,11184.599609,11183.925781,81073
2021-04-30,11000.000000,11224.799805,10869.700195,11039.500000,11038.834961,36609
2021-05-03,10999.000000,11107.599609,10710.400391,11047.799805,11047.134766,15222
2021-05-04,11200.000000,11222.900391,10873.599609,10988.900391,10988.238281,23712
2021-05-05,11000.000000,11185.000000,10915.450195,11108.799805,11108.129883,18177
2021-05-06,11150.000000,11185.900391,10994.200195,11030.000000,11029.334961,9969
2021-05-07,11060.000000,11390.000000,11012.250000,11315.599609,11314.917969,18603
2021-05-10,11450.000000,11547.900391,11282.000000,11337.900391,11337.216797,15350
2021-05-11,11240.000000,11305.000000,11143.099609,11196.400391,11195.725586,11081
2021-05-12,11151.000000,11312.549805,11052.049805,11086.450195,11085.782227,11606
2021-05-14,11125.000000,11152.549805,10870.150391,10968.099609,10967.439453,9438
2021-05-17,10980.500000,11371.400391,10952.700195,11247.549805,11246.872070,14746
2021-05-18,11398.000000,11580.000000,11302.250000,11407.950195,11407.262695,14082
2021-05-19,11350.000000,11438.400391,11171.750000,11205.900391,11205.225586,18871
2021-05-20,11230.000000,11303.000000,11137.150391,11225.450195,11224.773438,13667
2021-05-21,11298.000000,11411.400391,11216.549805,11269.750000,11269.071289,14286
2021-05-24,11251.000000,11363.400391,11094.849609,11161.950195,11161.278320,17708
