Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,3300.000000,3300.550049,3138.550049,3153.449951,3052.157715,711477
2022-03-08,3115.000000,3180.000000,3050.000000,3113.750000,3013.732910,541966
2022-03-09,3144.000000,3170.000000,3093.699951,3123.850098,3023.508789,483468
2022-03-10,3225.000000,3248.000000,3144.800049,3222.949951,3119.425293,490457
2022-03-11,3250.000000,3256.600098,3192.800049,3199.899902,3097.115723,362091
2022-03-14,3199.899902,3215.000000,3145.100098,3185.850098,3083.517334,335292
2022-03-15,3186.000000,3249.000000,3181.649902,3222.850098,3119.328613,258636
2022-03-16,3244.000000,3318.350098,3232.250000,3313.649902,3207.211670,239522
2022-03-17,3322.000000,3362.000000,3300.550049,3355.949951,3248.153320,436218
2022-03-21,3350.000000,3350.000000,3230.000000,3237.550049,3133.556396,354460
2022-03-22,3230.000000,3250.000000,3132.250000,3158.399902,3056.948730,583821
2022-03-23,3167.399902,3173.850098,3092.000000,3102.250000,3002.602295,1044283
2022-03-24,3087.000000,3130.000000,3080.550049,3103.850098,3004.151123,459226
2022-03-25,3110.000000,3122.750000,3074.100098,3094.500000,2995.101318,339040
2022-03-28,3094.500000,3118.949951,3060.050049,3094.800049,2995.391602,310240
2022-03-29,3112.000000,3134.000000,3090.199951,3103.800049,3004.102539,359318
2022-03-30,3123.649902,3160.000000,3114.649902,3148.399902,3047.270020,450273
2022-03-31,3149.300049,3218.500000,3147.300049,3206.399902,3103.406738,413897
2022-04-01,3210.000000,3237.899902,3191.649902,3230.649902,3126.877930,260712
2022-04-04,3230.000000,3276.399902,3215.000000,3270.000000,3164.964111,275388
2022-04-05,3280.000000,3314.949951,3271.899902,3303.399902,3197.291016,236853
2022-04-06,3282.000000,3295.000000,3254.649902,3282.500000,3177.062500,245111
2022-04-07,3275.000000,3322.000000,3265.649902,3294.100098,3188.290039,302703
2022-04-08,3287.000000,3354.300049,3287.000000,3347.899902,3240.361816,168952
2022-04-11,3347.899902,3370.000000,3297.050049,3350.649902,3243.023438,186130
2022-04-12,3340.000000,3364.899902,3302.300049,3344.100098,3236.684082,238043
2022-04-13,3340.000000,3388.000000,3340.000000,3349.649902,3242.055420,205852
2022-04-18,3345.000000,3367.899902,3306.050049,3343.899902,3236.490234,197878
2022-04-19,3343.899902,3388.000000,3245.300049,3267.899902,3162.931396,296680
2022-04-20,3266.000000,3335.000000,3242.000000,3304.199951,3198.065430,235572
2022-04-21,3297.000000,3369.949951,3274.399902,3359.899902,3251.976074,152205
2022-04-22,3341.300049,3377.500000,3325.000000,3364.100098,3256.041748,148494
2022-04-25,3280.000000,3347.050049,3132.050049,3295.899902,3190.031982,630312
2022-04-26,3308.300049,3402.000000,3301.300049,3372.699951,3264.364990,398545
2022-04-27,3350.000000,3384.699951,3312.149902,3338.250000,3231.021729,248769
2022-04-28,3270.000000,3391.550049,3263.100098,3357.899902,3250.040527,322548
2022-04-29,3360.100098,3370.899902,3266.500000,3279.250000,3173.916992,259398
2022-05-02,3242.000000,3284.899902,3203.000000,3271.300049,3166.222412,215783
2022-05-04,3340.000000,3596.000000,3328.149902,3385.449951,3276.705566,2871830
2022-05-05,3410.000000,3423.550049,3260.000000,3277.000000,3171.739258,623098
2022-05-06,3245.000000,3323.850098,3187.100098,3307.800049,3201.550049,560373
2022-05-09,3282.500000,3338.300049,3225.000000,3252.050049,3147.590820,403409
2022-05-10,3261.000000,3320.600098,3235.000000,3246.550049,3142.267334,285192
2022-05-11,3240.000000,3283.800049,3195.000000,3259.850098,3155.140137,269579
2022-05-12,3225.500000,3239.949951,3156.899902,3216.850098,3113.521240,310942
2022-05-13,3225.000000,3321.000000,3225.000000,3278.500000,3173.191162,326757
2022-05-16,3337.000000,3337.949951,3253.399902,3284.899902,3179.385254,270772
2022-05-17,3289.000000,3382.899902,3285.449951,3368.850098,3260.638916,277190
2022-05-18,3350.000000,3432.649902,3350.000000,3394.350098,3285.320068,435712
2022-05-19,3365.000000,3388.600098,3308.050049,3332.050049,3225.020996,394058
2022-05-20,3360.000000,3463.800049,3352.000000,3450.250000,3339.424072,525530
2022-05-23,3451.250000,3538.000000,3451.250000,3487.050049,3375.041992,524978
2022-05-24,3515.000000,3518.000000,3440.000000,3470.449951,3358.975342,230532
